date,Inflation,LTIR,Unemployment,STIR,LIBOR,BCTPS,UKUSFX,BDR,HPLR,HCCR
1986-01,5.482456,11.13,11.2,12.863,8.25,156383.84,1.42,9.7,23.68,26.8
1986-02,5.114254,10.73,11.1,12.71875,7.94,157953.04,1.43,9.99,23.68,26.8
1986-03,4.202586,9.69,11.2,11.77679,7.5,159977.18,1.47,9.14,23.68,26.8
1986-04,3.059072,8.94,11.3,10.5767,6.94,164349.56,1.5,7.82,23.68,26.8
1986-05,2.731092,9.15,11.3,10.26705,7.13,165909.12,1.52,7.48,23.68,26.8
1986-06,2.515723,9.45,11.3,9.82292,7.03,167137.08,1.51,7.3,20.8,26.8
1986-07,2.415966,9.61,11.3,10.03805,6.56,169186.29,1.51,7.3,20.8,26.8
1986-08,2.408377,9.66,11.3,9.89435,5.94,171654.39,1.49,7.3,20.8,26.8
1986-09,3.039832,10.28,11.3,10.18892,6.13,176234.01,1.47,7.3,20.8,26.8
1986-10,3.033473,10.92,11.2,11.1644,5.94,178600.58,1.43,8.15,20.8,26.8
1986-11,3.54536,11.08,11.2,11.24609,6.38,182282.79,1.42,8.15,20.8,26.8
1986-12,3.75,10.98,11.2,11.40421,6.75,185297.08,1.44,8.15,20.8,26.8
1987-01,3.950104,10.27,11.1,11.10085,6.2,185805.06,1.51,8.15,20.8,26.8
1987-02,3.933748,9.97,11,10.89219,6.47,189997.84,1.53,8.15,20.8,26.8
1987-03,4.033092,9.11,10.9,10.0142,6.58,193208.32,1.59,7.21,20.8,26.8
1987-04,4.19652,9.14,10.8,9.83097,6.81,193724.31,1.63,6.84,20.8,26.8
1987-05,4.192229,8.8,10.6,8.86792,7.25,198391.8,1.67,5.91,20.8,26.37
1987-06,4.192229,8.93,10.5,8.93608,7.06,201583.04,1.63,5.91,20.65,24.26
1987-07,4.410256,9.29,10.3,9.24796,6.75,204284.05,1.61,5.91,20.65,23.2
1987-08,4.396728,10.13,10.1,10.0997,7.13,207460.52,1.6,6.86,20.65,23.2
1987-09,4.170906,10.21,10,10.19602,7.75,210816.24,1.64,6.86,20.65,23.41
1987-10,4.467005,10.14,9.8,10.0277,7.13,214072.69,1.66,6.27,20.65,23.73
1987-11,4.128902,9.23,9.6,8.99851,8.19,216822.17,1.78,5.74,20.65,23.73
1987-12,3.714859,9.63,9.4,7.97283,7.13,220528.11,1.83,5.28,20.65,23.2
1988-01,3.3,9.71,9.2,8.88691,6.81,224052.49,1.8,5.28,20.65,23.2
1988-02,3.107825,9.52,9.1,9.28795,6.81,227098.32,1.76,5.41,20.65,23.2
1988-03,3.340723,9.22,8.9,8.91304,6.8,231298.37,1.83,5.23,20.65,23.2
1988-04,3.42073,9.2,8.8,8.37426,7.13,236411.32,1.88,4.67,20.65,23.2
1988-05,3.751535,9.41,8.7,8.06676,7.63,239617.56,1.87,4.2,20.65,23.2
1988-06,4.183834,9.51,8.5,8.97514,7.81,246819.43,1.78,5.17,20.65,23.2
1988-07,4.286175,9.84,8.4,10.57366,8.13,252541.05,1.71,6.56,20.65,23.2
1988-08,4.626928,9.91,8.3,11.44429,8.38,256558.66,1.7,7,20.65,24.79
1988-09,4.750591,10.1,8.4,12.19034,8.31,261597.23,1.68,7.93,20.65,25.63
1988-10,4.883745,9.69,8,12.0439,8.38,266198.85,1.74,7.93,20.65,26.59
1988-11,5.01561,9.86,7.9,12.31818,9.56,269807.95,1.81,7.93,20.65,26.59
1988-12,5.117271,10.14,7.7,13.15767,9.19,274469.4,1.83,8.62,20.65,26.59
1989-01,5.7,9.96,7.6,13.16122,9.25,279282.87,1.77,9.82,23.55,26.59
1989-02,5.8,9.72,7.5,13.06406,10.06,284650.36,1.75,10.57,23.55,26.59
1989-03,5.9,9.88,7.4,13.0625,10.06,290651.37,1.71,10.57,23.55,26.59
1989-04,5.6,10.18,7.2,13.18359,9.88,294959.06,1.7,10.52,23.55,26.59
1989-05,5.9,10.17,7.1,13.22215,9.69,299473.49,1.63,10.52,23.55,26.59
1989-06,5.8,10.55,7,14.18253,9.44,304761.9,1.55,10.76,25.05,26.59
1989-07,5.7,10.15,7,13.96317,8.69,309684.1,1.63,10.72,25.05,27.87
1989-08,5.5,9.91,7,13.89572,9,316232.36,1.59,10.72,25.05,29.37
1989-09,5.7,10.21,6.9,14.07217,9.13,322943.96,1.57,10.72,25.05,29.37
1989-10,5.8,10.45,6.8,15.06818,8.75,323605.96,1.59,10.94,25.05,29.8
1989-11,5.7,10.55,6.8,15.15412,8.81,327326.58,1.57,11.51,25.05,29.8
1989-12,5.8,10.56,6.8,15.15179,8.5,333013.04,1.6,11.51,25.05,29.8
1990-01,5.9,10.89,6.8,15.19837,8.31,337234.35,1.65,11.51,26.55,29.37
1990-02,6.3,11.33,6.8,15.14922,8.38,342746.85,1.7,11.52,26.55,29.59
1990-03,6.2,12.42,6.7,15.31676,8.38,349128.47,1.62,11.64,26.55,29.59
1990-04,7.7,12.74,6.8,15.25744,8.5,350994.63,1.64,11.64,26.55,29.59
1990-05,8.2,12.41,6.7,15.19429,8.31,355551.26,1.68,11.82,26.55,29.4
1990-06,8.2,11.8,6.7,15.01302,8.31,360277.85,1.71,11.82,26.55,29.4
1990-07,8.2,11.84,6.8,14.9858,8,362497.66,1.81,11.7,26.55,29.4
1990-08,8.9,12.15,6.8,15.01664,8.06,364179.08,1.9,11.7,26.55,29.4
1990-09,9.2,12.1,6.9,14.95117,8.27,368908.75,1.88,11.7,26.55,29.4
1990-10,9.2,11.74,7,14.06216,7.94,372386.68,1.95,10.91,26.55,29.73
1990-11,9.2,11.37,7.1,13.68111,8.63,377361.81,1.96,10.74,26.55,29.73
1990-12,9.2,10.84,7.4,13.8817,7.63,379832.48,1.92,10.74,26.55,29.73
1991-01,8.6,10.59,7.5,14.01087,6.94,382814.49,1.93,10.72,26.55,29.73
1991-02,8.2,10.13,7.7,13.29532,7,387257.89,1.96,10.28,26.55,29.73
1991-03,8.3,10.29,8.1,12.4628,6.31,390141.54,1.82,9.43,26.55,29.94
1991-04,8,10.19,8.3,12.01492,6.06,390887.73,1.75,8.77,26.55,29.19
1991-05,7.5,10.38,8.5,11.56522,5.94,393014.17,1.72,8.37,26.55,29.19
1991-06,7.7,10.58,8.6,11.29844,6.06,393864.68,1.65,8.27,26.55,29.19
1991-07,7.5,10.28,8.8,11.12976,5.94,395650.95,1.65,7.97,26.55,28.64
1991-08,7.5,10.03,9,10.93324,5.69,397632.14,1.68,7.97,24.55,28.21
1991-09,6.9,9.64,9,10.33408,5.44,400157.81,1.73,7.54,24.55,26.6
